,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
9348,"CoreCivic of Tennessee, LLC d/b/a Central Arizona Florence Correctional Center",28-RC-288330,Florence,AZ,2021-12-30,"Region 28, Phoenix, Arizona",Closed,03/31/2022,Certific. of Representative,17.0,17.0,"United Association of Plumbers and Pipefitters, Local 469","Included: All full-time and regular part-time maintenance employees including apprentices and helpers employed by the Employer at the Central Arizona Florence Correctional Center.

Excluded: All other employees, office clerical employees, managers, guards, and supervisors as defined in the Act at the is Central Arizona Florence Correctional Center."
9351,Starbucks Corporation,27-RC-288318,Louisville,CO,2021-12-30,"Region 27, Denver, Colorado",Closed,05/23/2022,Certific. of Representative,30.0,24.0,"Chicago and Midwest Regional Joint Board, Workers United / SEIU","Include: All full-time and part-time Baristas and Shift Supervisors. Exclude: Store Mangers, office clericals, guards, professional employees, and supervisors."
9352,"Central Network Retail Group, LLC d/b/a Frattallone's Hardware and Garden",18-RC-288324,Circle Pines,MN,2021-12-30,"Region 18, Minneapolis, Minnesota",Closed,02/01/2022,Withdrawal Non-adjusted,,15.0,,"Included:  Full-time and part-time cashiers, sales associates, window shop techs and closers.

Excluded:  Store Mgr, guards, professional employees, and supervisors as defined by the Act."
9353,"Riverstreet Center Opco, LLC",04-RC-288206,Wilkes-Barre,PA,2021-12-29,"Region 04, Philadelphia, Pennsylvania",Closed,03/17/2022,Certific. of Representative,17.0,18.0,"Retail, Wholesale, Department Store Union/United Food Commercial Workers (RWDSU/UFCW)","Included:  All full time, part time and PRN License Practice Nurses

Excluded:  All supervisors and management positions define by the Act"
9355,C&W Facility Services Inc.,01-RC-288234,Marlborough,MA,2021-12-29,"Region 01, Boston, Massachusetts",Closed,02/25/2022,Certific. of Representative,5.0,5.0,International Union of Operating Engineers Local 877 & Local 4,"Included:  All full-time, regular part-time, and per diem skilled trades employees including Electricians, Painters, Carpenters, Plumbers, Maintenance Mechanics, Licensed Engineers, Licensed Firemen, HVAC Mechanics, working foremen, Chiefs and Leads.  Excluded:  All clerical/administrative, managers, confidential employees, and guards and professional employees and supervisors as defined in the Act."
9356,Colgate Heating Corporation,03-RC-288246,Buffalo,NY,2021-12-29,"Region 03, Buffalo, New York",Closed,03/03/2022,Certification of Results,10.0,12.0,,"All full-time and regular part-time employees including welders, fabricators, feild tech's etc at the Employer's facility in Buffalo, NY

Excluded:  All temporary employees, office clerical and professional employees, guards, foreman, salaried employees, and supervisors as defined in the Act"
9357,"Alliance for a Healthier Generation, Inc.",19-RC-288289,Portland,OR,2021-12-29,"Region 19, Seattle, Washington",Closed,03/24/2022,Certification of Results,53.0,44.0,,"Included: All Associate Director, Associate Director/Cause Marketing and Communications, Family Engagement Manager, National Content Advisor, Rise Program Manager, Content Manager, Social and Emotional Health, Member Engagement and Support Manager, Social Emotional Health Content Manager, Data Manager, HSCP Manager, Network, Healthy Schools Program Manager, Senior Manager Digital Marketing, Business Systems Analyst, Member Engagement and Support Manager Communications, Regional Program Manager, Software and Data Engineer, Software Development Manager, Rise Virtual Program Manager, National Advisor, HSCP, Senior Managment Development, Digital Engagement Specialist, Senior National PE/PA Advisor, Digital Marketing Manager, UX/UI Designer, Technical Support Specialist, Virtual Content Manager/Social Emotional Health. Excluded: Guards and Supervisors as defined by the Act."
9358,Community Work Training Association,19-RC-288296,Bellingham,WA,2021-12-29,"Region 19, Seattle, Washington",Closed,03/04/2022,Certific. of Representative,17.0,14.0,"General Teamsters Union Local No. 231, affiliated with the International Brotherhood of Teamsters","Included: All regular full time, part time, and cover staff. Excluded: Director and Assistant Director"
9359,"SHoP Architects, Inc.",02-RC-288187,New York,NY,2021-12-28,"Region 02, New York, New York",Closed,02/03/2022,Withdrawal Non-adjusted,,91.0,,"Included: all full-time and regular part-time employees in the following job classifications:
Associate Principals
Associates
Associates, Interactive Visualization
Senior Associates
Department Directors
Project Directors
Designers
IT Support Assistance
Senior Systems Engineer
Senior Design Team Coordinator

Excluded: all Principals, Managers, Supervisors, Confidential Employees, Temporary and
Student Employees, and Guards"
9360,Abbott Northwestern Hospital,18-RC-288243,Minneapolis,MN,2021-12-28,"Region 18, Minneapolis, Minnesota",Closed,02/15/2022,Certification of Results,112.0,111.0,SEIU Healthcare Minnesota,"Included:  All full-time and regular part time physical therapists, occupational therapists and speech therapists in the acute care, cardiac rehabilitation, in-patient rehabilitation, outpatient rehabilitation, and resource units to be added to the existing professional employees unit via Armour-Globe.

Excluded:  All other professional employees, service and maintenance employees, technical employees, business office clerical employees, registered nurses, skilled maintenance employees, physicians, managers, supervisors, and guards."
9362,"Providence Health & Services - Western Washington, d/b/a Providence Regional Medical Center Everett",19-RC-288202,Everett,WA,2021-12-28,"Region 19, Seattle, Washington",Closed,03/04/2022,Certification of Results,4.0,4.0,"United Food and Commercial Workers Local 21, affiliated with United Food and Commercial Workers International Union","Included: The petitioner seeks to add through an Armour-Globe self-determination election all full time, part time, and per diem Dieticians employed by the employer at Providence Regional Medical Center-Everett Pacific Campus (916 Pacific Avenue Everett WA 98201), Providence Regional Medical Center Everett Pavilion for Women & Children (900 Pacific Avenue Everett WA 98201), and Providence Regional Cancer Partnership (1717 13th street Everett WA 98201) to the existing Professional bargaining unit. Excluded: Excluding all guards, supervisors, managers, and confidential employees as defined by the Act."
9363,"Prospect Chartercare RWMC, LLC",01-RC-288207,Providence,RI,2021-12-28,"Region 01, Boston, Massachusetts",Closed,03/09/2022,Certific. of Representative,214.0,220.0,United Nurses and Allied Professionals,"Included: All full time and regular part time registered nurses employed by Rogers Williams Medical.
Excluded: All other employees, guards and supervisors as defined by the Act."
9365,Starbucks Corporation,10-RC-288098,Knoxville,TN,2021-12-27,"Region 10, Atlanta, Georgia",Closed,04/05/2022,Certific. of Representative,27.0,28.0,"Workers United Labor Union International, affiliated with Service Employees International Union","Included:  All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers. 
Excluded:  Store Managers, office clericals, guards, and supervisors as defined by the Act."
9366,"BFI Waste Services, LLC d/b/a Republic Services of Georgia",10-RC-288115,Winder,GA,2021-12-27,"Region 10, Atlanta, Georgia",Closed,03/08/2022,Certification of Results,155.0,140.0,,"Included:  All FT & reg PT roll-off, front load, swing, residential, recycle, and container delivery drivers and helpers.

Excluded:  All other employees, including temporary employees, mechanics, office clerical employees, guards, and supervisors as defined in the Act."
9367,"PharmaCann, Inc.",13-RC-288158,Schaumburg,IL,2021-12-27,"Region 13, Chicago, Illinois",Closed,03/08/2022,Certific. of Representative,19.0,16.0,Teamsters Local Union No. 777,"Included: Cannabis Support Center Specialists Excluded: All trainers, supervisors, guards, and managerial employees as defined by the Act"
9369,"Northern States Power Company, a Minnesota corporation, d/b/a Xcel Energy",18-RC-288180,Minneapolis,MN,2021-12-27,"Region 18, Minneapolis, Minnesota",Closed,04/20/2022,Certification of Results,19.0,17.0,,"Included: All full-time and part-time BAOs, TSOs and NRLs based at the 414 Nicollet Office.

Excluded: Supervisory, managerial and confidential employees and guards as defined by the act."
9370,"Durham School Services, L.P.",25-RC-288184,Bettendorf,IA,2021-12-27,"Region 25, Indianapolis, Indiana",Closed,03/07/2022,Certific. of Representative,2.0,2.0,Teamsters Local Union 371,"Included: Mechanics

Excluded: Supervisors, Management"
9372,"Crawford Electric Cooperative, Inc.",14-RC-288089,Bourbon,MO,2021-12-23,"Region 14, Saint Louis, Missouri",Closed,03/01/2022,Certific. of Representative,,6.0,,"All full-time and regular part-time staking technicians, mapping technicians, and engineering support assistants employed at the Employer's facility at 10301 North Service Road West, Bourbon, MO to  be added to the existing unit of employees at the facility represented by the International Brotherhood of Electrical Workers, Local No. 2"
