,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
0,Albertsons LLC,19-RC-283726,Medford,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,12/13/2021,Dismissal Non-adjusted,,5.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.,2021
1,Albertsons LLC,19-RC-283727,Portland,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,1.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.,2021
2,"Safeway, Inc.",19-RC-283728,Portland,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,4.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.,2021
3,"JSW Steel USA Ohio, Inc.",08-RC-283641,Mingo Junction,OH,2021-09-29,"Region 08, Cleveland, Ohio",Closed,11/04/2021,Withdrawal Adjusted,,175.0,,"All full and regular part time production and maintenance employees at the Employer's facility in Mingo Junction, Ohio but excluding temporary employees, office clerical and professional employees, guards and supervisors as defined in the Act.

",2021
4,"Midwest Paper Retriever, LLC",13-RC-283661,Joliet,IL,2021-09-29,"Region 13, Chicago, Illinois",Closed,12/03/2021,Certification of Results,3.0,3.0,,"Included: Full time and regular part time drivers.

Excluded:

Guards, supervisors, and managers, and any other employees",2021
5,"UNIVERSAL PROTECTION SERVICE, LP D/B/A ALLIED UNIVERSAL SECURITY SERVICES",16-RC-283690,San Antonio,TX,2021-09-29,"Region 16, Fort Worth, Texas",Closed,12/16/2021,Certific. of Representative,,71.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA) and its Local No.100","Included: All full-time and part-time armed and unarmed security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, Employed by Allied Universal @3530 General Hudnell Dr, San Antonio, TX 78226.

Excluded: All office clerical employees, professional employees and supervisors as defined in the Act.",2021
6,"Estron Chemical, Inc.",10-RC-283707,Calvert City,KY,2021-09-29,"Region 10, Atlanta, Georgia",Closed,12/09/2021,Certific. of Representative,41.0,39.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 776","Included:  All full and regular part time maintenance technicians, warehouse workers, chemical operators, lead chemical operators, pilot plant chemical operators, and production clerk.

Excluded:  Office clerical employees, professional employees, managerial employees, guards, supervisors, as defined in the Act.",2021
7,"Northern States Power Company, a Minnesota Corporation, d/b/a Xcel Energy",18-RC-283607,Monticello,MN,2021-09-28,"Region 18, Minneapolis, Minnesota",Closed,01/25/2022,Certific. of Representative,19.0,19.0,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 160","All full-time and part-time control room/FIN supervisors and ops program managers; excluding supervisory, managerial and confidential employees and guards as defined by the Act.",2021
8,AMENTUM NAS North Island,21-RC-283608,San Diego,CA,2021-09-28,"Region 21, Los Angeles, California",Closed,10/01/2021,Withdrawal Non-adjusted,,5.0,,"Included: All full time and regular part time Ground Support Equipment Mechanics and Welders working at Naval Air Station North Island working in building 801

Excluded: Guards and Supervisors as defined in the Act.",2021
9,Meadow View Healthcare and Rehabilitation Center,04-RC-283647,Montrose,PA,2021-09-28,"Region 04, Philadelphia, Pennsylvania",Closed,11/24/2021,Certific. of Representative,8.0,10.0,"SEIU Healthcare Pennsylvania, CTW, CLC","Included:  All full-time and regular part-time licensed practical nurses employed at 225 Park St., Montrose, PA 18801

Excluded:  All other employees, guards, and supervisors as defined by the Act",2021
10,Meadow View Healthcare and Rehabilitation Center,04-RC-283656,Montrose,PA,2021-09-28,"Region 04, Philadelphia, Pennsylvania",Closed,11/24/2021,Certification of Results,24.0,35.0,,"Included:  All full time and regular part time service and maintenance employees including but not limited to CNAs, cooks, dietary aides, cook/aides, housekeepers, laundry aides, activities assistants, maintenance employed at 225 Park St., Montrose, PA 18801

Excluded:  All other employees, guards, and supervisors as defined by the Act",2021
11,Seagate US LLC,18-RC-283636,Bloomington,MN,2021-09-28,"Region 18, Minneapolis, Minnesota",Closed,01/10/2022,Certific. of Representative,9.0,9.0,"International Brotherhood of Electrical Workers, Local Union 292","Included:  MNC Electrical Services - All full-time and part-time.
Excluded:  Supervisory and Confidential - All other departments and job class.",2021
12,Moonlight Amphitheatre,21-RC-283640,Vista,CA,2021-09-28,"Region 21, Los Angeles, California",Closed,09/30/2021,Withdrawal Non-adjusted,,40.0,,"Included: All full time regular part time and seasonal employees of the employer

Excluded: All office clerical employees, maintenance employees, guards and supervisors",2021
13,C&W Facility Services Inc.,01-RC-283650,Boston,MA,2021-09-28,"Region 01, Boston, Massachusetts",Closed,11/10/2021,Withdrawal Non-adjusted,,3.0,,"Included: All full time, regular part time, and per diem skilled trades employees including Electricians, Painters, Carpenters, Plumbers, Maintenance Mechanics, Licensed Engineers, Licensed Firemen, HVAC Mechanics, and Leads. 
Excluded: All other employees, ckerical/administrative, managers, confidential employees, guards and supervisors as defined in the Act.",2021
