,Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Year,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,"01, 34",01-RC-251507,,"Live Nation Worldwide, Inc.",RC,Boston,MA,2021-08-19 00:00:00,72,8,30,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts, Local B-4",Stipulated,WON,,2021-08-27 00:00:00,Certific. of Representative,2021,,,,,
1,"01, 34",01-RC-264014,,"ClarkWestern Dietrich Building Systems, LLC",RC,Bristol,CT,2020-10-15 00:00:00,114,65,32,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied-Industrial & Service Workers International Union, AFL-CIO",Stipulated,,LOSS,2020-10-23 00:00:00,Certification of Results,2021,,,,,
2,"01, 34",01-RC-264202,,"Stericycle, Inc.",RC,Woonsocket,RI,2020-09-02 00:00:00,34,11,20,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2020-10-08 00:00:00,Certific. of Representative,2021,,,,,
3,"01, 34",01-RC-265825,,"First Student, Inc.",RC,North Scituate,RI,2020-10-21 00:00:00,15,0,14,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2020-11-24 00:00:00,Certific. of Representative,2021,,,,,
4,"01, 34",01-RC-266534,,Portland Museum of Art,RC,Portland,ME,2020-11-30 00:00:00,33,10,16,"Technical, Office & Professional Union Local 2110",Directed,WON,,2021-05-03 00:00:00,Certific. of Representative,2021,,,,,
5,"01, 34",01-RC-266690,,"Wheelabrator Technologies, Inc.",RC,Bridgeport,CT,2020-11-05 00:00:00,46,13,33,"International Union of Operating Engineers Local 30, AFL-CIO",Stipulated,WON,,2020-11-17 00:00:00,Certific. of Representative,2021,,,,,
6,"01, 34",01-RC-266758,,"The Waltham Committee, Inc. d/b/a WCI- Work, Community, Independence",RC,Waltham,MA,2020-12-09 00:00:00,82,3,54,"International Brotherhood of Teamsters Joint Council 10 New England, Teamsters Local Union No. 25",Directed,WON,,2021-01-12 00:00:00,Certific. of Representative,2021,,,,,
7,"01, 34",01-RC-266848,,"Durham School Services, L.P.",RC,Greenville,RI,2020-10-27 00:00:00,43,4,32,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2020-12-02 00:00:00,Certific. of Representative,2021,,,,,
8,"01, 34",01-RC-267007,,"First Student, Inc.",RC,Niantic,CT,2020-10-27 00:00:00,33,1,22,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 493",Stipulated,WON,,2020-11-25 00:00:00,Certific. of Representative,2021,,,,,
9,"01, 34",01-RC-267109,,"NSMC Healthcare, Inc. - Salem Hospital",RC,Salem,MA,2020-10-26 00:00:00,1004,253,220,1199 SEIU United Healthcare Workers East,Consent,,LOSS,2020-12-03 00:00:00,Certification of Results,2021,,,,,
10,"01, 34",01-RC-267379,,Autumn Transportation,RC,Wethersfield,CT,2020-11-06 00:00:00,28,8,15,"SERVICE EMPLOYEES INTERNATIONAL UNION, CSEA SEIU, LOCAL 2001",Stipulated,WON,,2020-12-02 00:00:00,Certific. of Representative,2021,,,,,
11,"01, 34",01-RC-267677,,Komatsu America Corp (f/k/a F&M Equipment),RC,Newington,CT,2020-11-04 00:00:00,2,0,2,OPERATING ENGINEERS LOCAL 478,Stipulated,WON,,2020-12-08 00:00:00,Certific. of Representative,2021,,,,,
12,"01, 34",01-RC-267845,,"Rhode Island LFG Genco, LLC",RC,Johnston,RI,2020-12-01 00:00:00,8,3,4,"International Union of Operating Engineers, Local 877",Stipulated,WON,,2020-12-31 00:00:00,Certific. of Representative,2021,,,,,
13,"01, 34",01-RC-268266,,"Holistic Industries, Inc. d/b/a Liberty Cannabis",RC,Somerville,MA,2020-12-07 00:00:00,10,3,5,United Food and Commercial Workers Local 1445 AFL-CIO,Consent,WON,,2021-01-14 00:00:00,Certific. of Representative,2021,,,,,
14,"01, 34",01-RC-269576,,"VHS Acquisition Subsidiary Number 9, Inc. d/b/a MetroWest Medical Center - Leonard Morse Hospital",RC,Natick,MA,2021-01-06 00:00:00,62,2,37,Laborers’ International Union of North America Local 380,Stipulated,WON,,2021-02-05 00:00:00,Certific. of Representative,2021,,,,,
15,"01, 34",01-RC-269601,,"Ambassador Wheelchair Services, Inc.",RC,Rocky Hill,CT,2021-01-22 00:00:00,85,28,26,CSEA SEIU Local 2001,Stipulated,,LOSS,2021-02-19 00:00:00,Certification of Results,2021,,,,,
16,"01, 34",01-RC-269805,,"Curran, Berger & Kludt",RC,Northampton,MA,2021-01-29 00:00:00,35,1,16,United Auto Workers Local 2322,Directed,WON,,2021-04-06 00:00:00,Certific. of Representative,2021,,,,,
17,"01, 34",01-RC-270184,,"Stericycle, Inc. d/b/a Shred-It",RC,Pawtucket,RI,2021-01-22 00:00:00,20,2,13,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2021-02-23 00:00:00,Certific. of Representative,2021,,,,,
